g,basis,Nspec,parity,inversion,Nsweep,Nsites,energy,energy uncertainty
0.01,m,3,none,none,10,3,-0.0001249974999023774,1.8189894035458565e-12
0.01,m,3,none,none,20,3,-0.0001249974999023774,4.812593599244048e-12
0.01,m,3,none,none,50,3,-0.00012499749990237742,0.0
0.01,dvr,3,none,none,10,3,-0.00012544354802057983,5.02778674166084e-11
0.01,dvr,3,none,none,20,3,-0.0001254435480206119,1.219265761382768e-10
0.01,dvr,3,none,none,50,3,-0.00012544354802060894,8.155079475349301e-11
0.1,m,3,none,none,10,3,-0.01247490566817906,3.2927225399135965e-10
0.1,m,3,none,none,20,3,-0.012474905668179057,3.2927225399135965e-10
0.1,m,3,none,none,50,3,-0.012474905668179057,1.6463612699567982e-10
0.1,dvr,3,none,none,10,3,-0.013011177197002621,9.599853366654507e-10
0.1,dvr,3,none,none,20,3,-0.013011177197002585,6.376329780383572e-10
0.1,dvr,3,none,none,50,3,-0.013011177197002627,6.585445079827193e-10
1.0,m,3,none,none,10,3,-1.022284339659235,4.9421560620597e-8
1.0,m,3,none,none,20,3,-1.022284339659236,1.4901161193847656e-8
1.0,m,3,none,none,50,3,-1.022284339659236,0.0
1.0,dvr,3,none,none,10,3,-2.205499278550121,5.1619136559035694e-8
1.0,dvr,3,none,none,20,3,-2.2054992785501213,4.2146848510894035e-8
1.0,dvr,3,none,none,50,3,-2.205499278550121,5.1619136559035694e-8
5.0,m,3,none,none,10,3,-9.00483371561914,0.0035341250533914973
5.0,m,3,none,none,20,3,-9.004852254556704,0.00023117315502277708
5.0,m,3,none,none,50,3,-9.004852334949351,2.9200193199910854e-7
5.0,dvr,3,none,none,10,3,-18.037785748831077,6.743495761743046e-7
5.0,dvr,3,none,none,20,3,-18.03778574883107,4.76837158203125e-7
5.0,dvr,3,none,none,50,3,-18.037785748831077,5.840038639982171e-7
20.0,m,3,none,none,10,3,-40.06607639662019,0.039920409758657086
20.0,m,3,none,none,20,3,-40.06714487428823,0.009314535473854368
20.0,m,3,none,none,50,3,-40.0672065203073,0.00011833057796336971
20.0,dvr,3,none,none,10,3,-78.00930557818586,0.0009349102364468194
20.0,dvr,3,none,none,20,3,-78.00930557818586,0.0009349102364468194
20.0,dvr,3,none,none,50,3,-78.00930557818586,0.0009349102364468194
100.0,m,3,none,none,10,3,-205.98865864875327,0.24919168895515473
100.0,m,3,none,none,20,3,-205.9979234990791,0.0821178853700818
