g,basis,Nspec,parity,inversion,Nsweep,Nsites,energy,energy uncertainty
2.0,m,10,none,none,10,10,-18.822155160034374,0.005066755674637266
2.0,dvr,10,none,none,10,10,-18.822629130741998,0.004760395155702325
2.0,m,10,none,none,20,10,-18.82215516081634,0.005065083945613099
2.0,dvr,10,none,none,20,10,-18.822629244254713,0.0048251447086259626
2.0,m,10,none,none,50,10,-18.822155160989826,0.005064714332579623
2.0,dvr,10,none,none,50,10,-18.82262963832986,0.004285635543189761
2.0,m,10,none,none,10,5,-8.001315340581797,0.0020010691602290773
2.0,dvr,10,none,none,10,5,-8.002009578390767,0.0025181199751341797
2.0,m,10,none,none,20,5,-8.001315666158291,0.001998202945193174
2.0,dvr,10,none,none,20,5,-8.002010749766166,0.00252971438612146
2.0,m,10,none,none,50,5,-8.001316664409856,0.0019881877092044436
2.0,dvr,10,none,none,50,5,-8.002014180986492,0.0025590596492389276
2.0,m,10,none,none,10,3,-3.6905649905991527,0.022252018801805874
2.0,dvr,10,none,none,10,3,-3.6684391138809476,0.024495830631720537
2.0,m,10,none,none,20,3,-3.6911894019486797,0.015387155535804818
2.0,dvr,10,none,none,20,3,-3.6696958270170557,0.026221678210306416
2.0,m,10,none,none,50,3,-3.692347469072381,0.010838653006867602
2.0,dvr,10,none,none,50,3,-3.6744936838722837,0.03036602360822502
1.7,m,10,none,none,10,10,-14.875692234285161,0.004147611151614103
1.7,dvr,10,none,none,10,10,-14.875864687976335,0.004254946612013449
1.7,m,10,none,none,20,10,-14.875692249471644,0.004063469103463731
1.7,dvr,10,none,none,20,10,-14.875865532287953,0.004169606573129618
1.7,m,10,none,none,50,10,-14.875692249491085,0.00406333345443869
1.7,dvr,10,none,none,50,10,-14.875865555779484,0.00410585000955429
1.7,m,10,none,none,10,5,-6.282364633043748,0.002448466737649619
1.7,dvr,10,none,none,10,5,-6.2837031250929485,0.002774615930493346
1.7,m,10,none,none,20,5,-6.282364988876971,0.0024274734951987187
1.7,dvr,10,none,none,20,5,-6.2837214294852926,0.0030457002900517124
1.7,m,10,none,none,50,5,-6.282366130601019,0.0024103988378034774
1.7,dvr,10,none,none,50,5,-6.2837673753681225,0.002553726682939816
1.7,m,10,none,none,10,3,-2.871272954469319,0.031022043297161062
1.7,dvr,10,none,none,10,3,-2.83931721577668,0.043371634851522185
1.7,m,10,none,none,20,3,-2.872597307778215,0.021571287070131062
1.7,dvr,10,none,none,20,3,-2.8433692803780106,0.04674825342429293
1.7,m,10,none,none,50,3,-2.8745108698639217,0.012104546390488904
1.7,dvr,10,none,none,50,3,-2.8574624948769176,0.04744699205220403
1.3,m,10,none,none,10,10,-9.839158335672648,0.0035294944452028414
1.3,dvr,10,none,none,10,10,-9.833991524436733,0.22831582542092413
1.3,m,10,none,none,20,10,-9.839158343941495,0.0035194210743181406
1.3,dvr,10,none,none,20,10,-9.839194243636719,0.0023471618215225943
1.3,m,10,none,none,50,10,-9.83915834745218,0.0035173113394992746
1.3,dvr,10,none,none,50,10,-9.839194243657182,0.002347095278768156
1.3,m,10,none,none,10,5,-4.099743089044297,0.011586199694940314
1.3,dvr,10,none,none,10,5,-4.099982050715433,0.010341330456699223
1.3,m,10,none,none,20,5,-4.100389934885069,0.012123558791280726
1.3,dvr,10,none,none,20,5,-4.100618233623301,0.007588804067541159
1.3,m,10,none,none,50,5,-4.101952690746042,0.007341437287166777
1.3,dvr,10,none,none,50,5,-4.102098740540837,0.0064590723687753164
1.3,m,10,none,none,10,3,-1.847698038422015,0.05222039826435618
1.3,dvr,10,none,none,10,3,-1.8037087767388031,0.09589199679674117
1.3,m,10,none,none,20,3,-1.8516599390406683,0.033730226634556146
1.3,dvr,10,none,none,20,3,-1.821947002019367,0.0912173187000434
1.3,m,10,none,none,50,3,-1.8548399046424038,0.005514419015710468
1.3,dvr,10,none,none,50,3,-1.8505100228646303,0.040838025468927903
0.8,m,10,none,none,10,10,-4.14436825872712,0.009374467381748854
0.8,dvr,10,none,none,10,10,-4.127920230170812,0.2931638917506016
0.8,m,10,none,none,20,10,-4.144446361371931,0.004578838231450839
0.8,dvr,10,none,none,20,10,-4.141317834119327,0.0029804282141861734
0.8,m,10,none,none,50,10,-4.144576700752569,0.0035716259283746885
0.8,dvr,10,none,none,50,10,-4.14131851901573,0.0029780236148593147
0.8,m,10,none,none,10,5,-1.6963448353690471,0.06019836219126252
0.8,dvr,10,none,none,10,5,-1.6628017188932531,0.13862036670279845
0.8,m,10,none,none,20,5,-1.6970035212461494,0.002855476136130759
0.8,dvr,10,none,none,20,5,-1.682021635895073,0.08862295942807856
0.8,m,10,none,none,50,5,-1.6970121351203318,0.002675038311774797
0.8,dvr,10,none,none,50,5,-1.6969815565165618,0.009378187549636851
0.8,m,10,none,none,10,3,-0.7583559501449441,0.12219818949894319
0.8,dvr,10,none,none,10,3,-0.7416433469339441,0.16742223092376307
0.8,m,10,none,none,20,3,-0.7728079844997903,0.04316343860165318
0.8,dvr,10,none,none,20,3,-0.7700169873703371,0.06839794289696795
0.8,m,10,none,none,50,3,-0.7749782932079086,0.0010494880453352509
0.8,dvr,10,none,none,50,3,-0.7749782038534434,0.0010892728380279121
0.5,m,10,none,none,10,10,-1.5042968457878914,0.10649816956455328
0.5,dvr,10,none,none,10,10,-1.4722255450683117,0.2389218892000699
0.5,m,10,none,none,20,10,-1.5120053769957689,0.003054252646569096
0.5,dvr,10,none,none,20,10,-1.5119152452839235,0.01399260473118613
0.5,m,10,none,none,50,10,-1.512006328573868,0.0022061942080985972
0.5,dvr,10,none,none,50,10,-1.512006337220022,0.002206452791146495
0.5,m,10,none,none,10,5,-0.6490361693962036,0.019735041959725492
0.5,dvr,10,none,none,10,5,-0.6396557676335082,0.16433147422704433
0.5,m,10,none,none,20,5,-0.649063892599365,0.0019128727476695807
0.5,dvr,10,none,none,20,5,-0.6490588964742475,0.0036466236898996473
0.5,m,10,none,none,50,5,-0.6490638972125957,0.001899314303833106
0.5,dvr,10,none,none,50,5,-0.6490638995304678,0.001899940384014543
0.5,m,10,none,none,10,3,-0.2839846985949607,0.216313478928861
0.5,dvr,10,none,none,10,3,-0.3019330736524938,0.12635983844657048
0.5,m,10,none,none,20,3,-0.3106091227006627,0.03059337872070635
0.5,dvr,10,none,none,20,3,-0.310970592145633,0.02017585829862176
